"","logFC","logCPM","PValue","FDR"
"Potri.014G130700",0.411587946629162,5.75237769330841,0.174019366268427,0.263428494996602
"Potri.003G168800",0.409243839624016,6.43197906281382,0.174286340658115,0.263781047456748
"Potri.014G018300",0.414662519271276,5.65351687368379,0.174773921521983,0.264467283006872
"Potri.001G324800",0.392365842813179,5.52561904924072,0.174883111641012,0.264529076431783
"Potri.014G114900",0.385498684035106,5.52299021417485,0.174883111641012,0.264529076431783
"Potri.008G040300",-0.43605059970634,7.31672034221224,0.175439146372145,0.26531828701063
"Potri.003G058400",0.418052331691,5.50568964009512,0.175756026817843,0.265745584600528
"Potri.018G066600",-0.409986102645345,5.92215598600213,0.175819954001227,0.265790321087792
"Potri.014G129200",0.547152256198087,7.07634313883741,0.176124627313869,0.266198909472632
"Potri.003G067700",-0.408063596723845,6.10355261493969,0.176316048633819,0.266436200005029
"Potri.010G180600",-0.394926684249417,5.80602206313759,0.176362832424944,0.266454874676765
"Potri.005G080500",0.392807866966032,5.72900272780492,0.176466246163496,0.266559083783267
"Potri.T147900",-0.454292159244505,8.00853281966253,0.176545714523463,0.2666270888608
"Potri.011G118200",-0.445779129992538,6.88539129264682,0.17662927836723,0.266701251377752
"Potri.001G293900",0.410619600782837,5.9134271327427,0.177046756053157,0.26725198403222
"Potri.002G257100",0.395774788388484,5.98729277373757,0.177070940725742,0.26725198403222
"Potri.016G067800",-0.421667996538534,6.92841540563963,0.17709760027148,0.26725198403222
"Potri.002G054800",0.407153770484386,5.86403517470938,0.177421763685972,0.267688976789361
"Potri.010G129200",0.603232226066261,6.39514367863307,0.177456838694415,0.267689715746399
"Potri.005G226900",0.426725565068723,6.58250213089866,0.177885809094496,0.268284521120694
"Potri.001G177400",0.441898106784161,8.51273433739799,0.17796067978397,0.268345151281498
"Potri.015G063100",-0.376283229882376,5.67431774319189,0.178074123498228,0.26846391037715
"Potri.009G055400",-0.416007864454807,6.50983355071949,0.17830973541022,0.26876676768746
"Potri.015G092700",-0.394348410896287,5.80366538549284,0.1784438183912,0.268916502014776
"Potri.001G114600",-0.422449674505081,5.919374903204,0.178527875974985,0.268990803980218
"Potri.013G082500",0.467164607877649,6.09235933890319,0.178564202362883,0.2689931736646
"Potri.003G072500",-0.394685141366414,5.85454240031641,0.178678614185387,0.269074192079936
"Potri.009G102000",0.444512219124255,6.19762705421677,0.17868751256988,0.269074192079936
"Potri.008G204200",0.501248925203027,7.35902064585683,0.178778286915386,0.269158517939134
"Potri.008G162000",0.413756679670747,5.54104187706989,0.179048709950635,0.269513227346931
"Potri.002G032500",-0.479335130593151,6.08338882989829,0.179147910542164,0.269610116196062
"Potri.008G129200",-0.46307520767914,7.54126487663265,0.179187207756377,0.269616832821609
"Potri.009G075700",-0.410523180631752,6.44358431180662,0.179710102410705,0.270351057854005
"Potri.013G090000",-0.402830922502664,5.88555320273376,0.180374202417582,0.271297381794031
"Potri.001G359700",0.38652966600134,5.67302910907784,0.180481876068717,0.27140659039671
"Potri.005G015100",0.509050229040021,6.95379235496138,0.180722411704108,0.271715514100582
"Potri.004G228400",-0.424646265886656,6.3926262243732,0.18098726446406,0.27206087142199
"Potri.001G179200",-0.447856085672529,6.30559147106129,0.181158819125722,0.27226587573458
"Potri.002G031900",-0.465117192336662,7.31107831979883,0.181484472816521,0.272702352863496
"Potri.019G133200",0.44046553584833,5.71182465554057,0.181571028590842,0.272779456772733
"Potri.001G372000",-0.410538701525,6.15349439299318,0.182250412254542,0.273726979107614
"Potri.002G171700",0.452226985964605,7.27671105500632,0.182272461281737,0.273726979107614
"Potri.001G057500",-0.46934614604381,7.07466263460207,0.182706889054782,0.274326153498354
"Potri.001G302000",-0.406993227343216,6.13801910597426,0.182872556714068,0.274521642545943
"Potri.006G138800",0.68024873935139,7.93289469304106,0.182980050549968,0.274629744280929
"Potri.006G003800",-0.409012919141822,5.57734329240336,0.183169087156895,0.274860165683282
"Potri.001G310400",0.580285108833214,7.23112473946566,0.18348022056104,0.275273678453663
"Potri.002G144600",0.523251453736578,7.09913882956957,0.183685921884529,0.275486015273943
"Potri.001G282900",0.515141524533454,6.75133454087894,0.183692936024395,0.275486015273943
"Potri.003G087200",0.410710912295406,5.77312519868179,0.184395665174661,0.276486332516829
"Potri.001G088300",-0.447400660439451,5.19401539118112,0.184691057702533,0.276875612360567
"Potri.001G170400",-0.397279953791462,5.87896831628421,0.186435977103182,0.279437347555893
"Potri.004G188100",-0.48398212211594,9.15867628600926,0.186567027326437,0.27957963049499
"Potri.009G100200",0.630046853017134,6.27095723050322,0.186745615384683,0.279793082283672
"Potri.004G160400",-0.401454314100179,6.79057375793976,0.187060877163114,0.28021118429311
"Potri.003G020300",-0.38058779890142,5.69064206041111,0.187102233817457,0.280218902814845
"Potri.010G124000",0.449666905008975,6.19787228833829,0.187196241615508,0.280222027372464
"Potri.014G053500",0.394392556375656,5.58701519474044,0.187244314610988,0.280222027372464
"Potri.008G035300",-0.37993571381241,5.58903791655812,0.187244314610988,0.280222027372464
"Potri.018G030900",-0.381668019186622,5.69759444140277,0.187327452266418,0.280222027372464
"Potri.006G167800",0.390222037089016,5.8698166642834,0.187345427386813,0.280222027372464
"Potri.003G030100",0.435941927228502,5.40410749102306,0.187393955255798,0.280222027372464
"Potri.001G381300",-0.42665246120803,5.40774800377151,0.187393955255798,0.280222027372464
"Potri.001G419300",-0.419626168164946,5.40282386533155,0.187393955255798,0.280222027372464
"Potri.016G121100",0.410444962830673,6.23108248664326,0.187755333093732,0.28069427186983
"Potri.010G092300",-0.417585707644442,6.06105147619783,0.187782291956328,0.28069427186983
"Potri.007G101600",-0.408828358464555,5.95212747013377,0.188062534172014,0.281058894476035
"Potri.005G081700",0.459055406682687,8.12425177979802,0.188315721702305,0.281382950960587
"Potri.001G279300",0.430057836721947,6.32808071042863,0.188373619745626,0.281415135462488
"Potri.006G056900",-0.426094159344957,7.17183892207734,0.188674492467847,0.281810222250316
"Potri.008G103900",-0.512420536507708,7.10209677149972,0.189102170754707,0.282394520864641
"Potri.008G146600",-0.518239171211825,5.20606250537253,0.189692570852878,0.283221546759506
"Potri.019G066600",0.400760480333375,5.67409182435807,0.190026303445364,0.283665108711112
